time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-23T08:01:02.881Z,38.128,73.2184,10,4.7,mb,75,55,1.745,0.66,us,us6000jqzk,2023-02-23T08:35:43.040Z,"65 km W of Murghob, Tajikistan",earthquake,4,1.907,0.058,91,reviewed,us,us
2023-02-23T06:55:34.020Z,18.7946,-63.9205,10,3.67,md,19,228,1.1264,0.5,pr,pr2023054001,2023-02-23T08:02:57.172Z,"Leeward Islands",earthquake,5.27,4.42,0.13,14,reviewed,pr,pr
2023-02-23T06:50:49.137Z,38.4879,72.8122,10,4.5,mb,21,171,1.264,0.56,us,us6000jqze,2023-02-23T07:28:35.040Z,"106 km WNW of Murghob, Tajikistan",earthquake,8,2,0.14,15,reviewed,us,us
2023-02-23T06:18:13.280Z,-8.5483,-77.6254,66.54,4.7,mb,44,154,3.503,0.47,us,us6000jqzb,2023-02-23T07:15:40.040Z,"22 km SW of Quiches, Peru",earthquake,8.1,8.7,0.064,74,reviewed,us,us
2023-02-23T03:36:09.429Z,-18.287,-177.8261,524.983,4.9,mb,40,63,3.626,0.67,us,us6000jqyg,2023-02-23T03:50:54.040Z,"",earthquake,13.43,10.963,0.108,27,reviewed,us,us
2023-02-23T03:18:57.663Z,-30.3916,-71.6856,34.097,4.4,ml,33,187,0.285,0.94,us,us6000jqyb,2023-02-23T03:30:52.786Z,"52 km WNW of Ovalle, Chile",earthquake,5.75,5.597,,,reviewed,us,guc
2023-02-23T02:18:00.671Z,38.3362,73.1067,10,4.7,mb,52,60,1.529,0.94,us,us6000jqxy,2023-02-23T02:37:56.040Z,"Tajikistan-Xinjiang border region",earthquake,6.56,1.897,0.059,87,reviewed,us,us
2023-02-23T02:07:46.940Z,38.1822,73.2346,10,4.8,mb,21,180,1.712,0.81,us,us6000jqxx,2023-02-23T02:22:17.040Z,"64 km W of Murghob, Tajikistan",earthquake,6.8,1.992,0.226,6,reviewed,us,us
2023-02-23T02:03:42.690Z,18.0793,-68.0888,78,3.54,md,14,234,0.1577,0.2,pr,pr2023054000,2023-02-23T02:42:39.960Z,"64 km ESE of Boca de Yuma, Dominican Republic",earthquake,1.66,1.34,0.06,6,reviewed,pr,pr
2023-02-23T01:35:57.658Z,38.1824,73.2794,10,4.9,mb,27,166,1.735,0.7,us,us6000jqxr,2023-02-23T01:49:27.040Z,"60 km W of Murghob, Tajikistan",earthquake,7.86,1.985,0.177,10,reviewed,us,us
