OID_,DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank
0,S01006506,Culter - 01,Aberdeen City,894,580,4691,4,7,14,68,8%,71,3936,8%,49,3220,65,29,30,70,13%,0%,74,5174,85%,5.88,53,0%,30%,5887,2.54,3.07,1.62,2.62,9.93,1.54,8.86,5.86,6.02,11%,4724,11,125,4664,87,10,10%,1%,3248
1,S01006507,Culter - 02,Aberdeen City,793,470,4862,4,7,14,70,5%,43,4829,5%,25,4481,45,130,126,81,14%,0%,86,5051,85%,5.96,96,2%,12%,4384,3.92,4.31,2.56,3.65,11.04,2.85,9.98,7.52,7.93,1%,2148,10,128,4602,85,4,10%,0%,3486
2,S01006508,Culter - 03,Aberdeen City,624,461,5686,5,9,17,82,6%,40,4460,4%,19,5110,45,71,18,41,13%,4%,69,5942,90%,5.75,39,1%,19%,5915,3.32,3.78,1.44,3.25,10.62,2.06,8.62,4.32,5.77,1%,4200,8,130,4563.5,31,8,5%,1%,5342
3,S01006509,Culter - 04,Aberdeen City,537,307,4332,4,7,13,63,10%,52,3481,8%,26,3229,80,80,28,103,16%,5%,88,3871,94%,6.2,80,0%,25%,6401,2.62,2.78,2.62,1.94,10.04,2.16,7.94,8.43,8.33,11%,3982,4,75,5626,42,6,7%,1%,4394.5
4,S01006510,Culter - 05,Aberdeen City,663,415,3913,3,6,12,57,10%,68,3344,8%,32,3448,95,89,44,139,22%,5%,89,3049,80%,5.87,77,6%,16%,4092,2.12,2.36,2.41,1.85,9.65,1.78,5.57,6.97,6.63,0%,5588,11,168,3885,50,7,9%,1%,3736
5,S01006511,Culter - 06,Aberdeen City,759,453,6253,5,9,18,90,4%,30,5469,4%,17,5346,50,55,0,54,12%,13%,73,5783,90%,5.79,54,2%,13%,5410,1.52,1.77,3.23,2.52,8.61,2.59,4.93,7.67,7.34,5%,4974,0,0,6928,27,8,4%,1%,5924
6,S01006512,Culter - 07,Aberdeen City,539,345,5692,5,9,17,82,2%,13,6264,2%,8,6206,40,29,0,41,11%,6%,55,6586,93%,5.86,27,0%,15%,6506,5.37,5.78,3.91,5.37,12.22,4.28,19.01,16.26,16.96,54%,547,7,132,4528,27,9,5%,2%,4815
7,S01006513,"Cults, Bieldside and Milltimber West - 01",Aberdeen City,788,406,6177,5,9,18,89,2%,14,6572,3%,13,5695,40,28,0,138,21%,0%,72,5516,94%,6.1,40,3%,28%,6531,3.57,4.32,5.52,1.95,6.26,4.91,11.27,10.98,11.1,3%,1490,0,0,6928,15,4,3%,1%,6394
8,S01006514,"Cults, Bieldside and Milltimber West - 02",Aberdeen City,1123,709,6715,5,10,20,97,2%,17,6704,2%,12,6658,25,18,0,107,12%,8%,59,6733,94%,6.5,19,1%,22%,6847,2.72,3.52,4.69,2.89,7.04,4.06,9.74,10,9.73,14%,1858,9,81,5507,10,3,1%,0%,6868
9,S01006515,"Cults, Bieldside and Milltimber West - 03",Aberdeen City,816,529,6363,5,10,19,92,1%,5,6955,1%,7,6803,25,23,0,34,10%,0%,58,6846,96%,6,15,0%,20%,6838,4.44,5.18,6.34,3.06,6.88,5.78,17.18,17.09,17.03,22%,659,0,0,6844,29,1,4%,0%,6174.5
10,S01006516,"Cults, Bieldside and Milltimber West - 04",Aberdeen City,629,419,5947,5,9,18,86,2%,14,6359,3%,14,5542,35,19,0,34,8%,10%,42,6852,0%,6.18,24,0%,13%,6631,4.68,4.14,5.93,3.92,5.95,6.01,9.59,10.14,11.51,22%,1037,8,129,4580,12,1,3%,0%,6570
11,S01006517,"Cults, Bieldside and Milltimber West - 05",Aberdeen City,1052,646,5772,5,9,17,83,2%,24,6335,4%,24,5324,40,31,16,63,13%,0%,69,6159,92%,6,25,1%,35%,6704,6.51,3.23,3.66,4.76,2.99,8.88,12.56,12.48,20.9,26%,931,8,77,5594,39,9,4%,1%,5892
12,S01006518,"Cults, Bieldside and Milltimber East - 01",Aberdeen City,664,370,6674,5,10,20,96,1%,7,6864,1%,4,6851,20,11,57,43,9%,8%,48,6919,0%,6.5,14,0%,30%,6960,6.27,3.73,4.52,4.62,3.73,7.61,10.02,8.16,13.5,7%,1161,0,0,6792,2,0,0%,0%,6960
13,S01006519,"Cults, Bieldside and Milltimber East - 02",Aberdeen City,941,560,6229,5,9,18,90,2%,19,6474,2%,13,6284,30,4,37,66,9%,0%,57,6776,94%,6.61,29,0%,32%,6904,7.27,3.67,4.42,3.61,2.55,8.61,13.87,12,18.2,30%,938,7,75,5628,12,0,1%,0%,6856
14,S01006520,"Cults, Bieldside and Milltimber East - 03",Aberdeen City,875,559,6490,5,10,19,94,1%,10,6831,1%,5,6920,15,25,37,30,7%,5%,61,6940,95%,6.4,4,0%,22%,6965,7.33,4.13,4.88,4.24,3.6,8.69,17.05,15.18,21.22,0%,785,0,0,6928,12,0,2%,0%,6825
15,S01006521,"Cults, Bieldside and Milltimber East - 04",Aberdeen City,793,512,6519,5,10,19,94,1%,5,6952,1%,5,6896.5,20,5,0,56,7%,5%,46,6952,94%,6.28,18,2%,29%,6808,5.1,3.88,2.87,4.43,3.99,7.08,15.89,13.71,22.94,4%,904,5,64,5889,9,0,1%,0%,6869
16,S01006522,"Cults, Bieldside and Milltimber East - 05",Aberdeen City,675,412,6769,5,10,20,98,0%,0,6969,1%,2,6955,15,12,0,67,7%,0%,66,6930,0%,6.5,16,0%,26%,6931,5.8,3.57,2.14,5.05,3.51,7.89,10.82,8.41,18.79,1%,1385,3,45,6273,7,2,1%,0%,6841
17,S01006523,"Cults, Bieldside and Milltimber East - 06",Aberdeen City,957,571,6504,5,10,19,94,3%,29,5955.5,2%,12,6373,40,51,0,65,10%,3%,62,6423,94%,6.21,12,0%,28%,6906,6.34,2.8,1.88,5.57,2.74,8.11,7.81,5.12,15.75,1%,2357,10,106,5000,18,8,2%,1%,6581
18,S01006524,"Cults, Bieldside and Milltimber East - 07",Aberdeen City,1056,629,4175,3,6,12,60,10%,107,3368,9%,58,2956,90,76,32,124,15%,0%,67,4161,0%,6.53,70,6%,20%,6256,6.68,2.1,2.43,5.13,2.19,7.85,6.6,5.69,13.89,0%,3281,3,29,6586,21,6,3%,1%,6240
