RefArea,Reference Area,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
S92000003,Scotland,55200,57798,58990,60277,63775,66127,70595,74224,78220,87144,101821,119658,129832,144112,160736,165214,159075,163396,163264,158491,162266,175043,176787,173982,180663,181457
S12000033,Aberdeen City,62601,66747,65194,67367,69634,72194,75770,78665,79317,83476,93082,102529,120634,140969,184081,185853,178330,188299,192384,192910,205666,221236,232228,215119,210428,199125
S12000034,Aberdeenshire,63952,67675,67932,68846,70669,74293,78485,79947,83822,88457,102011,115522,133341,157666,196823,205360,198155,206129,210272,207905,218734,230901,235254,218032,216351,214414
S12000041,Angus,50774,52543,53604,55039,57474,57694,60502,64933,68564,73535,85524,100114,115199,129412,151367,156095,146889,149402,147126,147635,147753,156662,166519,162570,160776,163377
S12000035,Argyll and Bute,58199,61329,60683,63402,65042,74949,68691,74841,76173,81923,100445,121052,137366,143196,165188,163199,152428,157444,157246,149470,154078,149467,154750,157152,157430,162956
S12000036,City of Edinburgh,62487,67359,70390,71968,77292,84337,93389,101199,108547,131137,150538,168610,179258,197915,217372,222857,210365,221948,221303,219176,219771,264956,251324,247623,262868,280643
S12000005,Clackmannanshire,53365,52904,54182,52301,59573,58952,60319,62541,67170,70569,81727,98126,108971,128755,146972,139899,137181,134226,128829,130346,128155,136170,132782,138259,141435,145137
S12000006,Dumfries and Galloway,52017,55008,53687,54991,58666,58114,62567,64122,66363,71116,84727,110856,123503,134472,144538,149636,139254,143694,136414,139363,134277,141565,137917,142011,141662,147336
S12000042,Dundee City,44453,46626,48278,48844,50052,52683,55562,57466,60788,64812,72969,82791,98597,114273,131574,132378,131438,127998,125579,125026,129378,138355,134534,140199,144436,140356
S12000008,East Ayrshire,45149,47164,48138,49152,49807,50379,55463,56102,61058,61331,72426,86217,101835,110915,126763,134593,121101,120399,121842,112561,111852,110748,118071,119890,124603,120856
S12000045,East Dunbartonshire,71617,72262,80629,79974,81182,83447,87325,94754,103119,118870,144608,167992,181235,186460,203731,214525,199996,204493,213838,209334,217885,226412,224312,224377,236954,249088
S12000010,East Lothian,61657,67612,68379,71845,74295,79126,83770,96681,99738,118878,147356,165374,176741,183697,211414,208739,202983,224528,202933,206552,206004,216894,229284,220113,236716,239504
S12000011,East Renfrewshire,74762,76378,76750,81277,84541,90525,92520,100533,109441,128925,147718,175398,182177,203342,211574,220578,205958,211535,212384,215251,221140,230381,234966,246349,258165,263170
S12000014,Falkirk,48231,48981,50951,52591,54449,55139,58709,62478,63333,71844,81184,100733,110110,120299,134805,137326,125358,126651,129256,123482,126513,128477,133639,136173,138450,147572
