month,Year,runoff
Jan,1991,135.082
Feb,1991,99.018
Mar,1991,152.954
Apr,1991,126.352
May,1991,16.436
Jun,1991,2.752
Jul,1991,0.909
Aug,1991,0.399
Sep,1991,0.655
Oct,1991,0.976
Nov,1991,6.464
Dec,1991,118.758
Jan,1992,61.306
Feb,1992,129.559
Mar,1992,125.455
Apr,1992,89.124
May,1992,56.537
Jun,1992,3.876
Jul,1992,6.85
Aug,1992,12.433
Sep,1992,1.224
Oct,1992,0.499
Nov,1992,6.764
Dec,1992,130.247
Jan,1993,58.159
Feb,1993,52.737
Mar,1993,216.009
Apr,1993,150.448
May,1993,27.459
Jun,1993,3.299
Jul,1993,1.616
Aug,1993,0.479
Sep,1993,9.004
Oct,1993,12.782
Nov,1993,112.439
Dec,1993,119.298
Jan,1994,177.591
Feb,1994,227.579
Mar,1994,208.79
Apr,1994,134.631
May,1994,146.68
Jun,1994,17.669
Jul,1994,75.135
Aug,1994,56.479
Sep,1994,22.021
Oct,1994,2.104
Nov,1994,11.145
Dec,1994,72.783
Jan,1995,115.119
Feb,1995,105.635
Mar,1995,85.376
Apr,1995,60.852
May,1995,111.799
Jun,1995,6.908
Jul,1995,2.511
Aug,1995,13.272
Sep,1995,1.81
Oct,1995,2.99
Nov,1995,62.433
Dec,1995,94.85
Jan,1996,179.451
Feb,1996,115.946
Mar,1996,172.015
Apr,1996,93.554
May,1996,272.777
Jun,1996,14.103
Jul,1996,181.757
Aug,1996,74.483
Sep,1996,53.239
Oct,1996,45.618
Nov,1996,119.894
Dec,1996,130.283
Jan,1997,79.556
Feb,1997,67.615
Mar,1997,186.696
Apr,1997,48.326
May,1997,140.884
Jun,1997,25.391
Jul,1997,34.024
Aug,1997,61.025
Sep,1997,33.602
Oct,1997,16.942
Nov,1997,122.441
Dec,1997,86.382
Jan,1998,152.992
Feb,1998,115.611
Mar,1998,142.638
Apr,1998,136.469
May,1998,72.161
Jun,1998,129.451
Jul,1998,22.312
Aug,1998,12.195
Sep,1998,2.796
Oct,1998,2.974
Nov,1998,3.211
Dec,1998,9.391
Jan,1999,174.285
Feb,1999,68.166
Mar,1999,181.055
Apr,1999,86.282
May,1999,61.126
Jun,1999,5.396
Jul,1999,0.815
Aug,1999,0.338
Sep,1999,0.144
Oct,1999,3.702
Nov,1999,10.806
Dec,1999,61.903
Jan,2000,37.143
Feb,2000,163.053
Mar,2000,75.315
Apr,2000,108.904
May,2000,50.548
Jun,2000,21.312
Jul,2000,12.196
Aug,2000,7.303
Sep,2000,19.782
Oct,2000,4.442
Nov,2000,18.475
Dec,2000,63.365
Jan,2001,82.524
Feb,2001,106.485
Mar,2001,98.382
Apr,2001,90.815
May,2001,73.717
Jun,2001,59.675
Jul,2001,168.98
Aug,2001,19.573
Sep,2001,4.968
Oct,2001,2.185
Nov,2001,2.423
Dec,2001,25.47
Jan,2002,107.507
Feb,2002,48.82
Mar,2002,136.159
Apr,2002,191.296
May,2002,103.638
Jun,2002,31.118
Jul,2002,10.732
Aug,2002,11.583
Sep,2002,4.505
Oct,2002,28.234
Nov,2002,103.949
Dec,2002,106.703
Jan,2003,60.967
Feb,2003,119.798
Mar,2003,192.855
Apr,2003,128.912
May,2003,114.45
Jun,2003,86.412
Jul,2003,30.378
Aug,2003,6.667
Sep,2003,60.514
Oct,2003,34.877
Nov,2003,144.744
Dec,2003,119.09
Jan,2004,87.316
Feb,2004,137.065
Mar,2004,182.378
Apr,2004,170.928
May,2004,124.066
Jun,2004,150.385
Jul,2004,45.294
Aug,2004,24.514
Sep,2004,7.756
Oct,2004,26.829
Nov,2004,91.138
Dec,2004,107.017
Jan,2005,110.343
Feb,2005,99.482
Mar,2005,157.005
Apr,2005,101.669
May,2005,106.128
Jun,2005,15.982
Jul,2005,8.861
Aug,2005,2.62
Sep,2005,0.644
Oct,2005,7.688
Nov,2005,52.106
Dec,2005,88.153
Jan,2006,132.585
Feb,2006,44.609
Mar,2006,52.163
Apr,2006,136.254
May,2006,74.832
Jun,2006,181.161
Jul,2006,82.002
Aug,2006,3.517
Sep,2006,10.512
Oct,2006,41.572
Nov,2006,71.917
Dec,2006,49.123
Jan,2007,102.882
Feb,2007,93.196
Mar,2007,175.486
Apr,2007,137.557
May,2007,76.949
Jun,2007,5.373
Jul,2007,27.643
Aug,2007,39.437
Sep,2007,4.429
Oct,2007,6.164
Nov,2007,26.24
Dec,2007,197.831
Jan,2008,117.644
Feb,2008,106.214
Mar,2008,133.884
Apr,2008,78.183
May,2008,173.877
Jun,2008,124.439
Jul,2008,32.059
Aug,2008,5.585
Sep,2008,0.88
Oct,2008,0.626
Nov,2008,3.88
Dec,2008,152.982
Jan,2009,123.871
Feb,2009,69.109
Mar,2009,58.83
Apr,2009,158.981
May,2009,127.546
Jun,2009,58.612
Jul,2009,9.604
Aug,2009,24.087
Sep,2009,2.583
Oct,2009,34.668
Nov,2009,16.757
Dec,2009,104.974
Jan,2010,137.68
Feb,2010,31.146
Mar,2010,204.228
Apr,2010,44.654
May,2010,72.406
Jun,2010,33.762
Jul,2010,2.761
Aug,2010,2.184
Sep,2010,1.447
Oct,2010,2.448
Nov,2010,14.548
Dec,2010,53.97
Jan,2011,48.331
Feb,2011,161.921
Mar,2011,172.555
Apr,2011,213.832
May,2011,94.104
Jun,2011,8.926
Jul,2011,82.119
Aug,2011,9.786
Sep,2011,33.195
Oct,2011,68.94
Nov,2011,125.55
Dec,2011,100.604
